연도,구명,행정동명,서비스업종명,점포당평균매출액,이전연도,이전점포당평균매출액,변동률
2021,강남구,개포2동,PC방,40694937,2020,114034837,-64
2021,강남구,개포2동,골프연습장,15643056,2020,13310169,17
2021,강남구,개포2동,네일숍,10973405,2020,7403761,48
2021,강남구,개포2동,노래방,8535919,2020,17598055,-51
2021,강남구,개포2동,당구장,9501933,2020,6221726,52
2021,강남구,개포2동,문구,435860095,2020,371230739,17
2021,강남구,개포2동,미곡판매,56094495,2020,44646899,25
2021,강남구,개포2동,미용실,45435496,2020,43498372,4
2021,강남구,개포2동,반찬가게,102876385,2020,112748906,-8
2021,강남구,개포2동,분식전문점,234012080,2020,304815912,-23
2021,강남구,개포2동,서적,102183596,2020,72088187,41
2021,강남구,개포2동,세탁소,28964601,2020,29079047,0
2021,강남구,개포2동,수산물판매,288431809,2020,279872728,3
2021,강남구,개포2동,슈퍼마켓,662589807,2020,789635531,-16
2021,강남구,개포2동,스포츠 강습,244530939,2020,197064400,24
2021,강남구,개포2동,안경,52045116,2020,45791182,13
2021,강남구,개포2동,양식음식점,78747232,2020,88761965,-11
2021,강남구,개포2동,예술학원,20255318,2020,8122643,149
2021,강남구,개포2동,외국어학원,134911932,2020,79957055,68
2021,강남구,개포2동,운동/경기용품,17914859,2020,28764659,-37
2021,강남구,개포2동,육류판매,339403942,2020,340823994,0
2021,강남구,개포2동,의약품,99427413,2020,512907543,-80
2021,강남구,개포2동,일반교습학원,65147189,2020,51865630,25
2021,강남구,개포2동,일반의류,77346455,2020,96750119,-20
2021,강남구,개포2동,일반의원,491047567,2020,495183849,0
2021,강남구,개포2동,일식음식점,154642489,2020,99291302,55
2021,강남구,개포2동,자동차수리,120341805,2020,106493123,13
2021,강남구,개포2동,전자상거래업,27350102,2020,28706117,-4
2021,강남구,개포2동,제과점,273525294,2020,375474488,-27
2021,강남구,개포2동,중식음식점,118311432,2020,127360940,-7
2021,강남구,개포2동,철물점,114152140,2020,108856958,4
2021,강남구,개포2동,청과상,175612504,2020,189142191,-7
2021,강남구,개포2동,치과의원,220735994,2020,176718727,24
2021,강남구,개포2동,치킨전문점,49394057,2020,71290203,-30
2021,강남구,개포2동,커피-음료,61669544,2020,78031392,-20
2021,강남구,개포2동,컴퓨터및주변장치판매,6851130,2020,61375703,-88
2021,강남구,개포2동,패스트푸드점,26521068,2020,35513656,-25
2021,강남구,개포2동,편의점,230236115,2020,183470272,25
2021,강남구,개포2동,피부관리실,1333333,2020,36800000,-96
2021,강남구,개포2동,한식음식점,86859625,2020,96423041,-9
2021,강남구,개포2동,한의원,154533577,2020,163922752,-5
2021,강남구,개포2동,호프-간이주점,65554206,2020,95302531,-31
2021,강남구,개포2동,화장품,22335239,2020,17658942,26
2021,강남구,개포4동,PC방,21698753,2020,36440682,-40
2021,강남구,개포4동,골프연습장,149298592,2020,142649859,4
2021,강남구,개포4동,노래방,26670798,2020,35227923,-24
2021,강남구,개포4동,당구장,21971119,2020,14897019,47
2021,강남구,개포4동,문구,42552310,2020,56036635,-24
2021,강남구,개포4동,미곡판매,976979613,2020,1750553999,-44
2021,강남구,개포4동,미용실,30428097,2020,32700586,-6
2021,강남구,개포4동,반찬가게,20930875,2020,40771179,-48
2021,강남구,개포4동,분식전문점,24562863,2020,33865106,-27
2021,강남구,개포4동,서적,9394013,2020,8605906,9
2021,강남구,개포4동,세탁소,16902032,2020,14951968,13
