연도,구명,행정동명,일일인구,10대인구,20대인구,30대인구,40대인구,50대인구,60대이상인구,월요일인구,화요일인구,수요일인구,목요일인구,금요일인구,토요일인구,일요일인구,남성인구,여성인구
2018Y 1Q,강남구,개포2동,1429,163,252,195,249,304,263,208,212,218,195,209,186,198,747,681
2018Y 1Q,강남구,개포4동,9076,562,1862,2098,1815,1591,1146,1382,1433,1444,1324,1375,1072,1043,5254,3822
2018Y 1Q,강남구,논현1동,47040,1241,17029,13703,7385,4456,3224,7020,7113,7232,6879,7477,6342,4974,24811,22229
2018Y 1Q,강남구,논현2동,43155,906,12239,13226,8198,4815,3769,6569,7278,7286,6636,6798,4841,3744,23082,20073
2018Y 1Q,강남구,대치1동,9361,2646,1469,1123,1988,1266,866,1316,1345,1385,1245,1275,1426,1365,4580,4781
2018Y 1Q,강남구,대치2동,14588,1698,3087,3545,3213,1826,1217,2308,2453,2439,2169,2213,1531,1471,8192,6396
2018Y 1Q,강남구,대치4동,42495,5193,9826,9419,8903,5551,3602,6489,6822,6802,6262,6318,5313,4485,21920,20575
2018Y 1Q,강남구,도곡1동,7262,369,1550,1838,1501,1093,908,1125,1200,1179,1084,1113,778,780,3952,3309
2018Y 1Q,강남구,도곡2동,3504,60,756,933,711,598,443,528,564,565,515,534,394,402,1941,1562
2018Y 1Q,강남구,삼성1동,20946,590,5040,6475,4547,2515,1777,3524,3720,3712,3387,3423,1789,1388,11971,8974
2018Y 1Q,강남구,삼성2동,24266,862,6335,6947,4903,2968,2249,3810,4129,4284,3757,3805,2492,1986,13207,11058
2018Y 1Q,강남구,수서동,5857,199,980,1453,1146,1075,1003,926,942,942,884,939,659,563,3284,2573
2018Y 1Q,강남구,신사동,36159,1901,12705,9529,5714,3541,2768,5099,5514,5623,5252,5560,5276,3832,16772,19387
2018Y 1Q,강남구,압구정동,30240,1442,9437,8699,5004,3113,2543,4176,4721,4792,4499,4708,4353,2988,13559,16681
2018Y 1Q,강남구,역삼1동,111059,6018,43428,27917,16616,10020,7058,16642,17858,18128,16619,17631,14002,10176,57687,53372
2018Y 1Q,강남구,역삼2동,24675,672,6441,7170,5188,2974,2228,3975,4149,4186,3793,3846,2600,2123,13617,11057
2018Y 1Q,강남구,일원1동,6737,186,1274,1269,1262,1406,1337,1035,1102,1078,1012,1003,773,730,3321,3415
2018Y 1Q,강남구,청담동,27183,846,7533,7915,4992,3340,2554,3659,4224,4279,4005,4170,3975,2868,12766,14417
2018Y 1Q,강동구,고덕제1동,2003,224,314,371,444,358,289,283,277,281,272,285,295,308,1023,979
2018Y 1Q,강동구,고덕제2동,293,7,32,36,64,100,51,48,51,49,43,46,40,13,241,51
2018Y 1Q,강동구,길동,29727,1468,6141,6076,5667,5903,4470,4156,4230,4299,4125,4300,4234,4382,14969,14757
2018Y 1Q,강동구,둔촌제2동,6864,674,1230,1158,1252,1294,1254,1004,1018,1016,961,997,932,933,3561,3302
2018Y 1Q,강동구,명일제1동,15873,1788,3348,2719,2754,2936,2325,2226,2239,2338,2215,2305,2342,2205,8088,7785
2018Y 1Q,강동구,명일제2동,6117,1290,1184,869,1012,945,813,891,924,913,865,890,849,782,3186,2930
2018Y 1Q,강동구,상일동,958,175,111,117,197,252,103,153,163,162,142,155,90,89,554,403
2018Y 1Q,강동구,성내제1동,10827,592,1994,2232,2222,2130,1654,1642,1668,1685,1558,1643,1350,1278,5618,5208
2018Y 1Q,강동구,성내제2동,24499,1322,5972,5047,4086,4434,3637,3373,3362,3449,3342,3573,3775,3622,11994,12505
2018Y 1Q,강동구,성내제3동,18178,1275,3691,3860,3308,3408,2634,2658,2699,2767,2333,2391,2494,2834,9198,8980
2018Y 1Q,강동구,암사제1동,10402,767,2049,2138,1972,1893,1580,1475,1466,1486,1408,1447,1556,1560,5252,5149
2018Y 1Q,강동구,암사제2동,3738,260,696,801,713,710,554,585,580,592,465,472,486,555,1892,1845
2018Y 1Q,강동구,암사제3동,583,87,111,122,115,87,59,84,84,84,80,82,77,90,291,292
2018Y 1Q,강동구,천호제1동,13106,1293,2582,2472,2264,2383,2110,1832,1827,1850,1811,1857,1938,1989,6500,6605
2018Y 1Q,강동구,천호제2동,33363,2044,8137,6580,5645,6025,4928,4551,4589,4681,4446,4775,5263,5056,16508,16854
2018Y 1Q,강동구,천호제3동,3485,169,737,790,576,621,589,487,478,491,479,485,524,538,1835,1650
2018Y 1Q,강북구,미아동,11483,785,2837,1874,1902,2245,1837,1569,1585,1589,1533,1624,1781,1800,5580,5903
2018Y 1Q,강북구,번1동,20501,948,5302,3658,3538,3919,3133,2815,2790,2847,2762,2969,3099,3215,10416,10084
2018Y 1Q,강북구,번2동,787,38,150,98,169,157,172,112,109,109,104,115,109,126,373,413
2018Y 1Q,강북구,번3동,3247,308,520,530,637,602,646,461,455,459,454,474,454,487,1535,1711
2018Y 1Q,강북구,삼각산동,4166,432,736,680,786,767,762,569,570,581,561,589,628,664,2150,2015
2018Y 1Q,강북구,삼양동,5437,540,974,854,971,1061,1034,745,741,754,736,769,811,879,2775,2662
2018Y 1Q,강북구,송중동,21691,1851,5477,3998,3659,3730,2975,2942,2979,3070,2938,3122,3419,3219,10208,11483
2018Y 1Q,강북구,송천동,12026,1277,2174,2093,2179,2379,1922,1724,1729,1727,1686,1741,1693,1723,5856,6170
2018Y 1Q,강북구,수유1동,5452,271,1440,883,935,1085,837,761,746,765,766,762,805,844,2701,2750
2018Y 1Q,강북구,수유2동,3449,220,699,563,707,677,580,482,471,484,478,485,502,544,1635,1814
2018Y 1Q,강북구,수유3동,33190,2160,11659,5910,4901,4736,3821,4567,4507,4656,4492,4843,5262,4859,16596,16593
2018Y 1Q,강북구,우이동,989,71,201,184,170,197,163,133,128,130,131,137,152,175,464,524
2018Y 1Q,강북구,인수동,4750,281,884,837,916,928,903,672,663,668,660,676,693,716,2205,2545
2018Y 1Q,강서구,가양제1동,2590,188,576,560,462,463,338,389,399,396,370,379,332,322,1385,1205
2018Y 1Q,강서구,공항동,8811,547,1947,1861,1652,1587,1215,1281,1292,1302,1255,1273,1209,1196,4894,3917
2018Y 1Q,강서구,등촌제1동,3134,71,860,825,550,472,354,455,464,467,440,462,413,430,1664,1469
2018Y 1Q,강서구,등촌제2동,3061,223,721,663,498,582,372,451,436,445,419,429,427,451,1606,1454
2018Y 1Q,강서구,등촌제3동,3481,230,764,914,727,526,318,433,465,521,472,459,593,534,1477,2004
2018Y 1Q,강서구,발산제1동,5349,1196,884,906,1034,801,524,793,797,808,778,798,678,694,2380,2969
2018Y 1Q,강서구,방화제1동,6144,368,1173,1353,1072,1193,982,875,861,880,834,886,875,930,3256,2887
2018Y 1Q,강서구,방화제2동,3973,236,984,848,625,735,542,569,562,574,561,576,556,572,2159,1813
2018Y 1Q,강서구,염창동,9080,677,1821,2189,1801,1523,1066,1318,1323,1342,1270,1323,1266,1236,4599,4481
2018Y 1Q,강서구,우장산동,7964,879,1709,1686,1486,1289,912,1126,1118,1167,1090,1130,1193,1137,3895,4068
2018Y 1Q,강서구,화곡본동,6074,454,1388,1545,1128,765,793,853,823,848,828,823,910,985,2899,3174
2018Y 1Q,강서구,화곡제1동,22773,1115,5355,5425,3921,3777,3178,3118,3110,3146,3097,3174,3551,3575,11624,11148
2018Y 1Q,강서구,화곡제2동,8140,498,1432,1845,1546,1494,1321,1138,1119,1123,1108,1138,1208,1303,4035,4104
2018Y 1Q,강서구,화곡제3동,6826,698,1527,1379,1105,1128,988,941,932,1004,916,959,1001,1071,3248,3578
2018Y 1Q,강서구,화곡제4동,5181,388,1052,1169,991,858,721,727,723,714,713,737,789,774,2582,2598
2018Y 1Q,강서구,화곡제6동,17188,945,4577,3912,2980,2683,2090,2280,2343,2361,2323,2443,2675,2761,9228,7960
2018Y 1Q,강서구,화곡제8동,15429,1022,3589,3563,2693,2393,2166,2176,2174,2186,2136,2207,2326,2221,7771,7658
2018Y 1Q,관악구,낙성대동,9771,651,4622,1789,1068,955,683,1318,1338,1351,1321,1400,1558,1482,5026,4744
