연도,구명,일일인구,10대인구,20대인구,30대인구,40대인구,50대인구,60대이상인구,월요일인구,화요일인구,수요일인구,목요일인구,금요일인구,토요일인구,일요일인구,남성인구,여성인구
2018Y 1Q,강남구,465032,25554,141243,123454,83335,52452,38955,69791,74779,75574,69517,72397,57802,45116,240663,224362
2018Y 1Q,강동구,180016,13435,38329,35388,32291,33479,27050,25448,25655,26143,24545,25703,26245,26234,90710,89295
2018Y 1Q,강북구,127168,9182,33053,22162,21470,22483,18785,17552,17473,17839,17301,18306,19408,19251,62494,64667
2018Y 1Q,강서구,135198,9735,30359,30643,24271,22269,17880,18923,18941,19284,18610,19196,20002,20192,68702,66487
2018Y 1Q,관악구,246612,13674,93796,49894,32180,30920,26100,33899,33916,34591,33523,35020,38178,37422,130284,116317
2018Y 1Q,광진구,154225,11439,53926,29414,21801,21926,15683,21122,20966,21660,20994,22034,24504,22897,78272,75947
2018Y 1Q,구로구,121716,5656,29192,28180,22154,20822,15679,17130,17235,17591,16913,17608,17396,17800,63906,57801
2018Y 1Q,금천구,54973,1984,12038,12263,10300,11014,7352,7848,7854,7996,7683,8045,7911,7612,30265,24702
2018Y 1Q,노원구,78026,8644,23131,12377,12256,12306,9289,10611,10660,10832,10462,11297,12377,11758,37546,40475
2018Y 1Q,도봉구,57769,3504,11959,9841,10510,12118,9804,8038,8075,8232,8001,8379,8430,8570,29507,28255
2018Y 1Q,동대문구,196367,14191,61521,34287,29310,29813,27211,28469,29149,29510,27694,28279,27056,26171,101954,94407
2018Y 1Q,동작구,171004,12150,58833,31764,23482,23620,21117,24408,24995,25317,23971,25013,24544,22714,88121,82876
2018Y 1Q,마포구,275255,23030,109482,57573,38487,27612,19034,37572,38571,39354,37887,40291,43764,37765,132499,142748
2018Y 1Q,서대문구,153216,13062,65868,25382,19663,16825,12381,21593,22219,22501,21437,22248,22709,20468,72231,80979
2018Y 1Q,서초구,248730,13223,72653,58866,44718,33045,26189,37160,38987,39398,36568,38581,31839,26149,131895,116828
2018Y 1Q,성동구,98096,5393,27091,20858,16767,16221,11734,14202,14591,14878,14020,14495,13329,12549,51634,46453
2018Y 1Q,성북구,157453,17010,54576,25581,22677,20787,16779,22630,22840,23183,22025,22577,22144,22007,76869,80576
2018Y 1Q,송파구,124696,8380,29963,27734,21958,20553,16065,17552,17794,18096,17338,18110,18398,17356,64701,59985
2018Y 1Q,양천구,87225,8161,17138,16859,16613,16086,12329,12248,12298,12454,12028,12615,12874,12663,44717,42506
2018Y 1Q,영등포구,198687,7854,49669,43426,36011,34935,26747,28051,28485,28945,27537,29064,28535,28017,106161,92515
2018Y 1Q,용산구,108863,5390,36340,27261,17696,12732,9406,14925,15216,15692,15007,16043,16573,15356,55949,52908
2018Y 1Q,은평구,158286,14621,37967,28484,27036,26920,23225,22036,22003,22311,21679,22731,24202,23280,77883,80397
2018Y 1Q,종로구,197626,10101,64254,39994,32185,27753,23302,28544,30264,30661,28521,29893,27702,21999,104558,93060
2018Y 1Q,중구,181406,5741,44944,43173,34712,30289,22518,27428,29667,29912,27369,28612,21505,16871,95634,85766
2018Y 1Q,중랑구,104943,6886,21719,19860,18482,21348,16612,14711,14556,14750,14351,14919,15530,16086,53311,51626
2018Y 2Q,강남구,469044,22231,139611,125946,85004,54531,41674,68897,70512,70398,75350,77308,60187,46335,241880,227157
2018Y 2Q,강동구,192802,12797,40718,38331,34634,36005,30280,26391,26597,27172,27168,28576,29427,27424,96098,96695
2018Y 2Q,강북구,137520,8568,35210,23968,23292,24607,21843,18984,18685,19158,18600,19819,21313,20924,67648,69868
